iter	Passed	Remaining
0	131	131711
1	138	69126
2	145	48395
3	152	37902
4	159	31745
5	165	27415
6	172	24415
7	178	22100
8	184	20304
9	190	18828
10	195	17592
11	201	16586
12	206	15715
13	213	15004
14	222	14584
15	228	14063
16	235	13625
17	242	13247
18	250	12927
19	257	12638
20	264	12322
21	271	12060
22	278	11843
23	286	11669
24	294	11474
25	301	11284
26	307	11090
27	314	10907
28	324	10857
29	331	10713
30	338	10568
31	343	10390
32	349	10231
33	354	10084
34	361	9960
35	367	9834
36	373	9715
37	379	9613
38	385	9509
39	392	9409
40	398	9315
41	404	9225
42	411	9160
43	417	9073
44	423	8980
45	428	8890
46	434	8814
47	441	8756
48	448	8698
49	455	8654
50	462	8603
51	470	8569
52	477	8523
53	483	8474
54	490	8434
55	498	8399
56	504	8341
57	510	8296
58	517	8250
59	523	8200
60	530	8158
61	536	8112
62	543	8089
63	550	8056
64	557	8014
65	563	7977
66	570	7937
67	576	7898
68	583	7866
69	589	7836
70	597	7813
71	603	7782
72	610	7757
73	617	7728
74	624	7700
75	631	7672
76	637	7646
77	645	7626
78	651	7595
79	658	7574
80	665	7549
81	672	7532
82	679	7508
83	686	7487
84	692	7458
85	699	7434
86	705	7407
87	712	7387
88	719	7365
89	725	7337
90	732	7315
91	738	7292
92	744	7265
93	752	7250
94	759	7232
95	766	7216
96	773	7197
97	780	7182
98	786	7161
99	794	7146
100	801	7131
101	807	7108
102	813	7088
103	820	7066
104	826	7044
105	832	7022
106	838	7001
107	844	6977
108	851	6957
109	858	6943
110	864	6922
111	870	6898
112	876	6877
113	882	6858
114	888	6840
115	895	6826
116	902	6808
117	907	6786
118	914	6769
119	920	6749
120	926	6732
121	933	6717
122	939	6697
123	946	6683
124	951	6663
125	958	6646
126	965	6633
127	971	6618
128	978	6604
129	986	6599
130	992	6584
131	999	6572
132	1007	6567
133	1013	6552
134	1020	6537
135	1026	6522
136	1032	6504
137	1039	6492
138	1045	6478
139	1051	6461
140	1058	6446
141	1064	6433
142	1071	6422
143	1077	6406
144	1084	6394
145	1090	6378
146	1096	6362
147	1102	6347
148	1108	6329
149	1114	6314
150	1120	6299
151	1126	6283
152	1133	6275
153	1138	6255
154	1144	6240
155	1150	6225
156	1156	6209
157	1162	6193
158	1167	6176
159	1173	6161
160	1179	6147
161	1185	6132
162	1192	6122
163	1198	6108
164	1205	6098
165	1211	6086
166	1217	6071
167	1222	6055
168	1228	6039
169	1234	6024
170	1239	6009
171	1245	5996
172	1251	5984
173	1257	5971
174	1263	5957
175	1269	5942
176	1274	5928
177	1280	5914
178	1286	5901
179	1292	5889
180	1298	5876
181	1306	5871
182	1314	5867
183	1320	5857
184	1327	5846
185	1333	5835
186	1340	5826
187	1346	5816
188	1353	5808
189	1360	5798
190	1367	5790
191	1373	5779
192	1379	5769
193	1385	5758
194	1391	5745
195	1397	5732
196	1403	5720
197	1408	5706
198	1414	5694
199	1420	5683
200	1426	5672
201	1432	5659
202	1438	5645
203	1443	5632
204	1449	5620
205	1455	5608
206	1461	5598
207	1467	5586
208	1473	5575
209	1479	5566
210	1485	5555
211	1491	5542
212	1496	5530
213	1502	5519
214	1508	5509
215	1514	5497
216	1522	5492
217	1530	5489
218	1538	5486
219	1547	5486
220	1556	5485
221	1564	5482
222	1571	5477
223	1581	5477
224	1588	5472
225	1594	5462
226	1600	5450
227	1606	5439
228	1612	5430
229	1619	5421
230	1625	5411
231	1631	5401
232	1637	5390
233	1643	5380
234	1649	5368
235	1654	5357
236	1660	5345
237	1665	5333
238	1672	5325
239	1678	5315
240	1684	5305
241	1689	5292
242	1695	5281
243	1701	5272
244	1708	5263
245	1714	5253
246	1719	5243
247	1726	5234
248	1732	5224
249	1738	5215
250	1744	5206
251	1750	5195
252	1756	5185
253	1762	5177
254	1769	5168
255	1775	5158
256	1782	5152
257	1789	5145
258	1795	5138
259	1802	5130
260	1809	5122
261	1815	5114
262	1822	5106
263	1828	5097
264	1834	5088
265	1841	5080
266	1848	5074
267	1855	5068
268	1862	5062
269	1869	5055
270	1877	5051
271	1884	5043
272	1890	5034
273	1897	5026
274	1903	5019
275	1910	5011
276	1916	5002
277	1922	4993
278	1929	4985
279	1935	4977
280	1942	4969
281	1948	4959
282	1954	4951
283	1960	4943
284	1966	4933
285	1972	4923
286	1977	4913
287	1983	4904
288	1989	4894
289	1995	4886
290	2002	4878
291	2008	4869
292	2015	4862
293	2021	4854
294	2028	4847
295	2034	4838
296	2039	4828
297	2045	4818
298	2050	4808
299	2056	4799
300	2062	4790
301	2069	4782
302	2076	4776
303	2083	4771
304	2092	4767
305	2100	4764
306	2108	4760
307	2114	4751
308	2120	4742
309	2126	4734
310	2134	4727
311	2140	4720
312	2147	4712
313	2153	4705
314	2163	4704
315	2174	4706
316	2185	4708
317	2195	4709
318	2208	4713
319	2218	4714
320	2229	4716
321	2238	4714
322	2248	4712
323	2257	4709
324	2268	4712
325	2276	4707
326	2287	4707
327	2294	4701
328	2303	4698
329	2312	4695
330	2320	4690
331	2331	4690
332	2339	4685
333	2346	4679
334	2354	4674
335	2362	4668
336	2370	4663
337	2377	4657
338	2385	4650
339	2392	4644
340	2399	4636
341	2406	4629
342	2414	4625
343	2426	4627
344	2435	4623
345	2445	4622
346	2453	4616
347	2461	4611
348	2470	4608
349	2479	4603
350	2487	4598
351	2495	4594
352	2504	4589
353	2511	4583
354	2518	4575
355	2524	4567
356	2531	4558
357	2537	4550
358	2544	4543
359	2551	4535
360	2557	4527
361	2564	4519
362	2571	4512
363	2578	4506
364	2585	4498
365	2592	4490
366	2598	4482
367	2608	4479
368	2637	4510
369	2653	4518
370	2661	4512
371	2673	4513
372	2685	4514
373	2693	4509
374	2701	4503
375	2709	4496
376	2716	4488
377	2723	4481
378	2729	4473
379	2736	4464
380	2743	4457
381	2749	4448
382	2756	4441
383	2762	4432
384	2769	4423
385	2775	4414
386	2781	4406
387	2788	4397
388	2794	4389
389	2801	4381
390	2807	4373
391	2814	4365
392	2821	4357
393	2827	4349
394	2833	4340
395	2839	4331
396	2845	4322
397	2851	4313
398	2858	4305
399	2865	4297
400	2871	4289
401	2877	4280
402	2883	4271
403	2890	4263
404	2896	4255
405	2902	4247
406	2909	4238
407	2915	4230
408	2922	4223
409	2928	4214
410	2936	4207
411	2943	4200
412	2950	4193
413	2957	4186
414	2965	4179
415	2972	4172
416	2979	4165
417	2985	4156
418	2992	4149
419	2999	4141
420	3006	4134
421	3012	4126
